authors,title,series,tags,pubdate,publisher,isbn,identifiers
"Peter H. Davids","James","","Bible, New Testament (NT), New Testament commentary","1989-04-15T01:00:00+11:00","Peabody, MA","9780853646693","isbn:9780853646693"
"deSilva, David A.;Bird, Michael F.;","Transformation","","New Testament (NT), Bible, Paul, Epistle, Gospel","2014-09-15T01:00:00+11:00","Bellingham, WA","9781577995852","google:q8msBwAAQBAJ,goodreads:25208783,amazon:1577995856,isbn:9781577995852"
"Roger Stronstad","The Charismatic Theology of St. Luke: Trajectories From the Old Testament to Luke-Acts","","Old Testament (OT), New Testament (NT), Theology, Bible","2012-10-01T14:44:05+11:00","Baker Books","9781441240330","google:LPpf0NcO684C,mobi-asin:B0090NU9J0,isbn:9781441240330"
"Jeannine K. Brown","Matthew","","Bible, New Testament (NT), New Testament commentary, Gospel of Matthew, Gospel","2015-02-11T00:00:00+11:00","Baker Publishing Group","9781441222275","isbn:9781441222275"
"Wagenman, Michael R.;Bartholomew, Craig G.;","Together for the World","","Bible, Jesus, New Testament (NT), Acts, Theology","2016-09-15T01:00:00+11:00","Bellingham, WA","9781577997191","amazon:1577997190,isbn:9781577997191,google:ZkkIkAEACAAJ,goodreads:29885341"
"Rose Publishing","The Tabernacle Bible Study","","Bible, New Testament (NT), Old Testament (OT), Pentateuch, Leviticus","2021-08-03T12:49:36+11:00","Rose Publishing","9781628627534","isbn:9781628627534,goodreads:39691199,google:3F07EAAAQBAJ,amazon:1628627522"
"Mary Douglas","Leviticus as Literature","","Linguistics, Old Testament (OT), Literary Criticism, Leviticus, Priestly Literature, Bible","1999-07-16T09:20:45+11:00","Oxford University Press","9780198150923","isbn:9780198150923,amazon:B002EZZ4HI,google:UXPnCwAAQBAJ"
"Michael Wilkins","The Gospels and Acts","","Bible, New Testament (NT), New Testament commentary, Gospel","2013-10-01T18:00:00+11:00","Holman Reference","9780805495300","isbn:9780805495300,goodreads:23793339,amazon:B00O4LOPW0"
"Milton P. Horne","Proverbs-Ecclesiastes [With CDROM]","","Old Testament Commentary, Old Testament (OT), Bible","2003-10-01T18:00:00+11:00","Smyth & Helwys Publishing","9781573120692","isbn:9781573120692,amazon:1573120693,goodreads:1970845"
"Erhard S. Gerstenberger","Psalms, Part 1: With an Introduction to Cultic Poetry","The Forms of the Old Testament Literature","Old Testament Commentary, Old Testament (OT), Psalms, Wisdom Literature, Bible, Theology, old testament theology","1988-04-02T11:00:00+11:00","Wm. B. Eerdmans Publishing Co.","9780802802552","isbn:9780802802552,google:c-ivzgEACAAJ,amazon:0802802559"
"Gary North","Leviticus: An Economic Commentary","","Old Testament Commentary, Old Testament (OT), Leviticus, Priestly Literature","1994-01-02T11:00:00+11:00","Inst for Christian Economics","9780930464721","isbn:9780930464721,google:6sXYAAAAMAAJ,amazon:0930464729"
"William L. Lane","The Gospel according to Mark: The English Text With Introduction, Exposition, and Notes","","New Testament commentary, Bible, New Testament (NT), Gospel of Mark, Gospel","2013-04-26T16:21:00+11:00","","2233118472","asin:B005OHDZBA,isbn:2233118472,guid:154c583725e6e1e501dc2596662efaa2b3a4bf3,oasin:0802825028"
"Ernst Haenchen","John: Chapters 7-21","","New Testament commentary, New Testament (NT), Gospel of John, Bible","1984-06-15T01:00:00+11:00","Fortress Press","9780800660154","isbn:9780800660154,google:BEj1zQEACAAJ"
"Vincent Taylor","The Gospel According to St. Mark: The Greek Text With Introduction, Notes, and Indexes","","New Testament commentary, Bible, New Testament (NT), Gospel of Mark, Gospel","1981-07-16T09:50:15+11:00","Baker Book House","9780801088599","isbn:9780801088599,google:w_4QAQAAIAAJ"
"James R. Edwards","The Gospel According to Mark","","New Testament commentary, Bible, New Testament (NT), Gospel of Mark, Gospel","2001-11-08T19:00:00+11:00","Eerdmans","9780802837349","mobi-asin:B005MI6FA4,goodreads:1056212,amazon:0802837344,isbn:9780802837349"
"Grant R. Osborne","Revelation","","New Testament commentary, Bible, New Testament (NT)","2000-03-01T19:00:00+11:00","Baker Academic","9781441200969","goodreads:17919031,isbn:9781441200969,mobi-asin:B008SAREN0"
"R. T. France","The Gospel of Matthew","","Bible, New Testament (NT), New Testament commentary, Gospel of Matthew, Gospel","2007-07-11T13:07:03+11:00","Wm. B. Eerdmans Publishing","9780802825018","mobi-asin:B003ISJBT2,isbn:9780802825018"
"J. Daniel Hays","Jeremiah and Lamentations","","Bible, Old Testament Commentary, Old Testament (OT), Jeremiah","2016-02-18T00:00:00+11:00","Baker Publishing Group","9781493403073","isbn:9781493403073"
"Martin M. Culy","I, II, III John: A Handbook on the Greek Text","","Bible, New Testament (NT), New Testament commentary, Gospel, Gospel of John","2005-01-02T00:00:00+11:00","Baylor University Press","9781932792089","isbn:9781932792089,amazon:1932792082"
"W. Dennis Tucker","Jonah: A Handbook on the Hebrew Text","","Bible, Old Testament (OT), Old Testament Commentary, Biblical Hebrew","2006-07-15T01:00:00+11:00","Baylor University Press","9781932792669","google:xPyD2BCbQ78C,isbn:9781932792669,amazon:193279266X,goodreads:286441"
"Thomas D. SJ Stegman","Second Corinthians","","Bible, New Testament (NT), New Testament commentary, Paul, Epistle","2021-12-03T11:00:00+11:00","Baker Publishing Group","9781441208026","isbn:9781441208026"
"Curtis Mitch","The Gospel of Matthew","","Bible, New Testament (NT), New Testament commentary, Gospel of Matthew, Gospel","2018-10-01T01:00:00+11:00","Baker Publishing Group","9781441213860","isbn:9781441213860"
"Mary Healy","The Gospel of Mark","","New Testament commentary, Bible, New Testament (NT), Gospel of Mark, Gospel","2011-01-01T11:00:00+11:00","Baker Publishing Group","9781441201980","isbn:9781441201980"
"Raymond E. Brown","The Gospel According to John I-XII","","New Testament commentary, New Testament (NT), Bible, Gospel, Gospel of John","1966-02-24T01:00:00+11:00","Anchor Bible","9780385015172","goodreads:76796,amazon:0385015178,isbn:9780385015172"
"Paul R. Hinlicky","Joshua","","Bible, Old Testament Commentary, Old Testament (OT)","2021-06-11T11:00:00+11:00","Baker Publishing Group","9781493431137","isbn:9781493431137"
"Laura A. Smit","Judges & Ruth","","Bible, Old Testament Commentary, Old Testament (OT)","2018-09-20T11:00:00+11:00","Baker Publishing Group","9781493412877","isbn:9781493412877"
"Jason Byassee","Psalms 101-150","","Bible, Old Testament (OT), Psalms, Wisdom Literature, Old Testament Commentary, old testament theology, Theology","2018-05-25T01:00:00+11:00","Baker Publishing Group","9781493413546","google:XmAyDwAAQBAJ,amazon:B0741DT66N,isbn:9781493413546,goodreads:40098405"
"Phillip Cary","Jonah","","Bible, Old Testament Commentary, Old Testament (OT)","2021-11-04T11:00:00+11:00","Baker Publishing Group","9781441235244","isbn:9781441235244"
"Ephraim Radner","Leviticus","","Bible, Old Testament Commentary, Old Testament (OT), Leviticus","2020-07-23T01:00:00+11:00","Baker Publishing Group","9781441235251","isbn:9781441235251"
"Daniel J. Treier","Proverbs & Ecclesiastes","","Bible, Old Testament (OT), Old Testament Commentary, Theology","2022-05-17T11:00:00+11:00","Baker Publishing Group","9781587431487","amazon:1587431483,goodreads:20655242,google:q8hcFKW2cX8C,isbn:9781587431487"
"George Hunsinger","Philippians","","Bible, New Testament (NT), New Testament commentary","2020-01-02T11:00:00+11:00","Baker Publishing Group","9781493420001","isbn:9781493420001"
"Risto Saarinen","The Pastoral Epistles with Philemon & Jude","","Bible, New Testament (NT), New Testament commentary","2020-02-27T00:00:00+11:00","Baker Publishing Group","9781441235268","isbn:9781441235268"
"Lloyd R. Bailey","Leviticus-Numbers","","Reference, Old Testament Commentary, Leviticus, Old Testament (OT), Bible","2005-07-15T13:15:28+11:00","Smyth & Helwys Pub.","9781573120609","amazon:157312060X,isbn:9781573120609,google:O13zNAAACAAJ,goodreads:4580811"
"N. T. Wright","Revelation for Everyone","","New Testament commentary, New Testament (NT)","2013-03-17T14:49:36+11:00","","9780281064632","isbn:9780281064632"
"N. T. Wright","Mark for Everyone","","New Testament commentary, New Testament (NT), Bible, Gospel of Mark, Gospel","2013-03-01T09:19:22+11:00","","1213109876","isbn:1213109876"
"Peter S. Williamson","Revelation","","Bible, New Testament (NT), New Testament commentary","2018-03-14T00:00:00+11:00","Baker Publishing Group","9781441219640","isbn:9781441219640"
"Stanley Hauerwas","Matthew","","Bible, New Testament commentary, New Testament (NT), Gospel of Matthew, Gospel","2007-01-01T00:00:00+11:00","Baker Publishing Group","9781587430954","isbn:9781587430954"
"Raymond E. Brown","The Death of the Messiah, Volume 1","","Bible, Theology, New Testament (NT)","2013-11-13T15:23:56+11:00","","0385193963","isbn:0385193963"
"C. Hassell Bullock","Psalms--Volume 2","","Bible, Old Testament (OT), Psalms, Wisdom Literature, Old Testament Commentary","2017-09-07T01:00:00+11:00","Baker Publishing Group","9781493411795","isbn:9781493411795,goodreads:40557399,google:tsk4DgAAQBAJ"
"Kenneth C. Way","Judges and Ruth","","Bible, Old Testament Commentary, Old Testament (OT)","2016-06-30T01:00:00+11:00","Baker Publishing Group","9781493405350","isbn:9781493405350"
"John Goldingay","Minor Prophets II","","Bible, Old Testament Commentary, Old Testament (OT)","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781441238436","isbn:9781441238436"
"C. Peter Wagner","The Book of Acts","","Bible, New Testament (NT), New Testament commentary","2011-01-01T00:00:00+11:00","Baker Publishing Group","9781441268914","isbn:9781441268914"
"Dennis SJ Hamm","Philippians, Colossians, Philemon","","Bible, New Testament (NT), New Testament commentary, Paul, Epistle","2013-11-05T00:00:00+11:00","Baker Publishing Group","9781441244864","isbn:9781441244864"
"Kenneth A. Mathews","Joshua","","Bible, New Testament (NT), New Testament commentary","2016-01-13T00:00:00+11:00","Baker Publishing Group","9781493400386","isbn:9781493400386"
"C. Marvin Pate","Romans","","Bible, New Testament (NT), New Testament commentary, Romans, Paul, Epsitle","2018-08-23T01:00:00+11:00","Baker Publishing Group","9781441241276","isbn:9781441241276"
"Sara Japhet","I And II Chronicles","","Old Testament (OT), Old Testament Commentary, Bible","2015-01-15T03:33:25+11:00","","9780664226411","isbn:9780664226411"
"Michael F. Bird","Romans","","Bible, New Testament (NT), New Testament commentary, Romans, Paul, Epsitle","2016-01-01T00:00:00+11:00","Zondervan","9780310599067","isbn:9780310599067"
"Michael F. Bird, Nijay K. Gupta","Philippians: New Cambridge Bible Commentary","","New Testament commentary, New Testament (NT)","2020-05-01T12:48:31+11:00","","9781108473880","isbn:9781108473880"
"J. Gordon Harris","Joshua, Judges, Ruth","","Bible, Old Testament Commentary, Old Testament (OT)","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781441238405","isbn:9781441238405"
"Craig C. Broyles","Psalms","","Psalms, Old Testament (OT), Old Testament Commentary, Wisdom Literature, Bible","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781565632202","isbn:9781565632202,goodreads:16443128,amazon:1565632206,google:eBAMgEthtlkC"
"Nobuyoshi Kiuchi","Leviticus","","Leviticus, Old Testament (OT), Old Testament Commentary, Priestly Literature","2014-07-24T09:40:03+11:00","","9781844741779","isbn:9781844741779"
"Craig S. Keener","The Mind of the Spirit: Paul's Approach to Transformed Thinking","","Bible, Holy Spirit, Paul, New Creation, New Testament (NT), Theology, Pauline Theology, Epistle","2016-06-21T01:00:00+11:00","Baker Publishing Group","9781493404605","google:F845DAAAQBAJ,goodreads:30454697,isbn:9781493404605,mobi-asin:B01G2F1GHC"
"Ellis R. Brotzman & Eric J Tully","Old Testament Textual Criticism: A Practical Introduction","","Old Testament (OT), Textual Criticism, Introduction","1993-11-01T19:00:00+11:00","Baker Academic","9781493404759","google:FZ7_DAAAQBAJ,isbn:9781493404759,goodreads:37813698"
"Jonathan T. Pennington","Reading the Gospels Wisely","","Reference, Exegesis, Hermeneutics, Bible, New Testament (NT), Gospel","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781441238702","goodreads:16603893,google:GirTSf0SDr8C,isbn:9781441238702"
"Jim Samra","James, 1 & 2 Peter, and Jude","","Bible, New Testament commentary, New Testament (NT)","2016-10-10T00:00:00+11:00","Baker Publishing Group","9781493405367","isbn:9781493405367"
"Kelly Anderson","James, First, Second, and Third John","","Bible, New Testament commentary, New Testament (NT), Gospel of John","2017-03-06T00:00:00+11:00","Baker Publishing Group","9781493406593","isbn:9781493406593"
"Unknown","The Synoptic Problem: Four Views","","Bible, Exegesis, New Testament (NT), Gospel, Jesus","2016-07-19T01:00:00+11:00","Baker Publishing Group","9781493404452","goodreads:31172515,mobi-asin:B01HC1251Q,google:8At4DAAAQBAJ,amazon:B01HC1251Q,isbn:9781493404452"
"Karl Barth","The Epistle to the Ephesians","","Bible, New Testament (NT), New Testament commentary, Paul, Epistle","2017-03-03T00:00:00+11:00","Baker Publishing Group","9781493406692","isbn:9781493406692"
"Mark S. Smith","The Genesis of Good and Evil","","Bible, Old Testament (OT), Theology, Genesis","2019-01-16T08:17:26+11:00","Westminster John Knox Press","9780664263959","amazon:066426395X,google:GAJtuwEACAAJ,isbn:9780664263959,goodreads:41642949"
"James Barr","The Semantics of Biblical Language","","Bible, Semantics, Biblical Reference, Linguistics, Biblical Hebrew, Theology","2004-05-17T11:00:00+11:00","Wipf and Stock","9781592446926","google:FxRLAwAAQBAJ,amazon:1592446922,isbn:9781592446926,wd:Q95376091,goodreads:1167382"
"Richard Beaton","Isaiah's Christ in Matthew's Gospel","","Bible, Gospel of Matthew, New Testament (NT), Old Testament (OT), Biblical Theology, Isaiah, Theology, Gospel","2002-11-01T19:00:00+11:00","Cambridge University Press","9780521818889","isbn:9780521818889,amazon:0521818885,goodreads:3415344"
"Emanuel Tov","The Text-Critical Use of the Septuagint in Biblical Research","","Septuagint (LXX), Textual Criticism, Bible","2015-07-01T01:30:00+11:00","Eisenbrauns","9781575063676","goodreads:26396235,isbn:9781575063676"
"D. A. Carson & Frank Ely Gaebelein & James Dixon Douglas","Matthew: With the New International Version of the Holy Bible","","Bible, Gospel, Gospel of Matthew, New Testament (NT), New Testament commentary","1995-11-15T16:17:49+11:00","Zondervan","9780310499619","google:gNqXHQAACAAJ,isbn:9780310499619"
"Unknown","Resources on Zechariah","","Bible, Old Testament (OT), Old Testament Commentary","0101-01-01T11:00:00+11:00","","",""
"Larry Walker","The New American Commentary - Volume 15A - Isaiah 1-39","","Bible, Old Testament (OT), Old Testament Commentary, Isaiah","2007-06-15T11:00:00+11:00","Holman Reference","","amazon:B004OR17PC,goodreads:21195061,mobi-asin:B004OR17PC"
"Norbert Lohfink","Qoheleth A Continental Commentary","","Bible, Old Testament (OT), Old Testament Commentary","2015-11-08T19:59:11+11:00","","",""
"Edward Silver","The Prophet and the Lying Pen","","Bible","2009-12-08T04:09:33+11:00","","",""
"Charles A. Wanamaker","The Epistle to the Thessalonians (New International Greek Testament Com","","Bible, New Testament (NT), New Testament commentary","1990-11-09T19:00:00+11:00","Wm. B. Eerdmans Publishing","","oasin:0802823947,amazon:B001Q3KBCW,goodreads:20414208,guid:8b684ef5cf33251663b72d91a4dd191f807d31c,asin:B001Q3KBCW"
"Geo Widengren","The King and the Tree of Life in Ancient Near Eastern Religion: (King and Saviour IV)","King and Saviour","Bible, ANE, Symbolism, Literary Criticism, Ancient Near East, Comparitive Criticism, Historical Criticism","1951-11-15T16:14:43+11:00","Almqvist & Wiksell","","google:jsYUhZpGjLAC,goodreads:40030599"
"Frank Moore Cross & David Noel Freedman","Studies in Ancient Yahwistic Poetry","","Bible, Old Testament (OT), Psalms, Wisdom Literature, Literary Criticism, Theology, old testament theology","1997-11-15T19:55:16+11:00","Wm. B. Eerdmans Publishing","9780802841599","isbn:9780802841599,google:vIaQUzWiqUgC"
"Anscar Vonier","The New and Eternal Covenant","","Bible","2013-05-03T18:00:00+11:00","Assumption Press","","amazon:B00CN0HPD0,goodreads:19409830,mobi-asin:B00CN0HPD0"
"Martti Nissinen","Prophecy in Its Ancient Near Eastern Context: Mesopotamian, Biblical, and Arabian Perspectives","","Bible, Ancient Near East, ANE, Comparitive Criticism, Historical Criticism","2000-10-30T11:00:00+11:00","Society of Biblical Literature","9780884140269","amazon:0884140261,isbn:9780884140269"
"Michael S. Heiser","The Divine Council In Late Canonical and Non-Canonical Second Temple Jewish Literature","","Bible","0101-01-01T11:00:00+11:00","","",""
"Millard, A. R.; Bienkowski, Piotr.; Mee, C.; Slater, E. A.","Writing and Ancient Near Eastern Society   Papers in Honour of Alan R. Millard","","Bible, Ancient Near East, ANE","2004-08-26T15:12:01+11:00","","",""
"P.M. Michèle Daviau, John W. Wevers, Michael Weigl","The World of the Aramaeans I  Biblical Studies in Honour of Paul-Eugene Dion","","Bible, ANE","2009-04-21T23:35:42+11:00","","",""
"Daniel Grossberg","The Dual Glow/Grow Motif","Biblica 67","Bible","2016-08-10T16:29:33+11:00","Peeters Publishers","",""
"Jeff Benner","The Ancient Hebrew Lexicon of the Bible: Hebrew Letters, Words and Roots Defined Within Their Ancient Cultural Context","","Ancient Near East, ANE, Bible, Old Testament (OT), Lexicon, Biblical Hebrew","2005-08-29T11:00:00+11:00","","","goodreads:40694389,amazon:B07F5Y22G9"
"Rex Mason","Preaching the Tradition: Homily and Hermeneutics After the Exile","","Bible, New Testament (NT), Old Testament (OT), Hermeneutics","1990-08-31T12:35:40+11:00","Cambridge University Press","9780521383042","google:YofZNfqvGfoC,isbn:9780521383042"
"Timothy J. Sandoval","Relating to the Text Interdisciplinary and Form","","Bible","2011-01-18T16:36:09+11:00","","",""
"Cynthia Lynn Miller","The Verbless Clause in Biblical Hebrew: Linguistic Approaches","","Bible, Biblical Hebrew, Syntax, Linguistics","1999-03-02T11:00:00+11:00","Eisenbrauns","9781575060361","isbn:9781575060361,amazon:1575060361,google:ahhU5vbaxUUC"
"George H. van Kooten","The Creation of Heaven and Earth: Re-Interpretations of Genesis 1 in the Context of Judaism, Ancient Philosophy, Christianity, and Modern Physics","","Bible, Professional & Technical, Philosophy, Theology, New Testament (NT), Old Testament (OT), Ancient Near East, ANE, Paul, Epistle","2004-11-29T11:00:00+11:00","Brill Academic Pub","9789004142350","amazon:9004142355,isbn:9789004142350"
"Ronnie Cann","The Dynamics of Language","","Bible","2005-08-01T01:30:00+11:00","BRILL","9780126135350","amazon:0126135355,goodreads:3231066,isbn:9780126135350"
"Geoffrey N. Leech","Semantics: The Study of Meaning","","Literary Criticism, Bible","1990-11-15T12:40:09+11:00","Penguin Books","9780140134872","isbn:9780140134872,goodreads:800486,google:Z9m4uQAACAAJ"
"Sharon Moughtin & Sharon Moughtin-Mumby","Sexual and Marital Metaphors in Hosea, Jeremiah, Isaiah, and Ezekiel","","Social Science, Bible, Judaism, Jewish Studies, Literary Criticism, Old Testament (OT), Isaiah, Jeremiah","2008-06-05T15:44:16+11:00","OUP Oxford","9780199239085","google:wksTDAAAQBAJ,amazon:0199239088,isbn:9780199239085,goodreads:1864435"
"D. Alan Cruse","Meaning in Language  An Introduction to Semantics and Pragmatics","","Bible","2000-03-01T19:00:00+11:00","Oxford University Press, USA","9780199263066","goodreads:747782,amazon:019926306X,isbn:9780199263066"
"Michael M. Winter","The Atonement","","Bible, New Testament (NT), Theology, Atonement","1994-11-24T19:00:00+11:00","Bloomsbury Academic","9780225667592","goodreads:487801,isbn:9780225667592,amazon:0225667592"
"Maren R. Niehoff","Philo of Alexandria  An Intellectual Biography","The Anchor Yale Bible Reference Library","Bible","2018-01-09T11:00:00+11:00","Yale University Press","9780300175233","isbn:9780300175233,goodreads:34746510"
"Dov M. Gabbay & Ruth Kempson & Paul Thagard & Tim Fernando & John Woods & Nicholas Asher","Philosophy of Linguistics","","Linguistics, Bible, Natural Language Processing, Language","2012-04-20T12:35:09+11:00","Elsevier","9780444517470","isbn:9780444517470,google:KlPwvH6ICqIC"
"Danny D. Steinberg","Semantics  An Interdisciplinary Reader in Philosophy, Linguistics and Psychology","","Bible","1971-10-31T00:30:00+11:00","Cambridge University Press","9780521078221","goodreads:2066456,amazon:0521078229,isbn:9780521078221"
"MARK LEUCHTER","The Polemics of Exile in Jeremiah 26-45","","Bible, Old Testament (OT), Jeremiah","2007-11-05T19:00:00+11:00","Cambridge University Press","9780521182768","goodreads:9025153,amazon:052118276X,isbn:9780521182768"
"D. Alan Cruse","Lexical Semantics","","Bible","1986-01-01T00:30:00+11:00","Cambridge University Press","9780521276436","amazon:0521276438,goodreads:517173,isbn:9780521276436"
"Frank Robert Palmer & Frank Robert, Palmer","Semantics","","Linguistics, Bible, Semantics, Philosophy, Language","1981-08-13T16:03:37+11:00","Cambridge University Press","9780521283762","google:UWJSaxH9GiMC,isbn:9780521283762,goodreads:75225979"
"Stephen Prickett","Words and the Word: Language, Poetics and Biblical Interpretation","","Bible, Exegesis, Semiotics, Hermeneutics, Literary Criticism","1986-11-15T16:03:44+11:00","Cambridge University Press","9780521368384","google:A5d36-vglRIC,isbn:9780521368384,goodreads:375730"
"Walter Brueggemann","The Theology of the Book of Jeremiah","","Bible, Old Testament (OT), Jeremiah, Theology","2006-01-01T19:00:00+11:00","Cambridge University Press","9780521606295","isbn:9780521606295,goodreads:271913,amazon:0521606292"
"Mark Gray","Rhetoric and Social Justice in Isaiah","","Bible, Old Testament (OT), Isaiah","2003-05-01T18:00:00+11:00","Bloomsbury T&T Clark","9780567027610","goodreads:9848161,isbn:9780567027610,amazon:0567027619"
"Rex Mason","Micah, Nahum and Obadiah","","Bible, Old Testament Commentary, Old Testament (OT), Theology","2004-01-01T16:11:05+11:00","A&C Black","9780567083289","google:XgvUAwAAQBAJ,isbn:9780567083289,goodreads:1637195"
"Edgar W. Conrad","Reading the Latter Prophets  Toward a New Canonical Criticism","","Bible","2004-04-01T19:00:00+11:00","Bloomsbury T&T Clark","9780567084521","isbn:9780567084521,amazon:0567084523,goodreads:2435081"
"Lester L. Grabbe","'Every City Shall Be Forsaken'  Urbanism and Prophecy in Ancient Israel and the Near East","","Bible, Old Testament (OT), Ancient Near East, ANE, Historical Criticism","2001-08-01T18:00:00+11:00","Sheffield Academic Press","9780567455987","goodreads:16062034,amazon:056745598X,isbn:9780567455987"
